A2	ab	Ab morgen muss ich wieder arbeiten.
A2	aber	Heute kann ich nicht kommen, aber morgen habe ich Zeit. | Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. | Es war sehr schön. Jetzt muss ich aber gehen. | Das ist aber nett von dir.
A2	abgeben, hat abgegeben	Ich muss meinen Schlüssel an der Rezeption gibt ab, abgeben.
A2	abholen, holt ab,	Wann kann ich die Sachen bei dir abholen?
A2	hat abgeholt	Wir müssen noch meinen Bruder abholen.
A2	abschließen, schließt ab, Ich schließe dieses Jahr mein Studium/	Hast du die Tür abgeschlossen?
A2	hat abgeschlossen meine	Ausbildung ab. | Achtung (Sg.) Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab. | Achtung! Pass auf! Der Verkehr ist hier gefährlich.
A2	die die Ahnung, -en Ich hatte keine Ahnung, dass du heute Geburtstag	Adresse, -n Können Sie mir Ihre Adresse geben? | hast. | Wie spät ist es? - Ich habe keine Ahnung.
A2	aktiv	Peter ist sehr aktiv und macht viel Sport.
A2	aktuell	Das ist das aktuelle Kinoprogramm.
A2	all-	Ich wünsche dir alles Gute! | Hast du alles? | Möchten Sie noch etwas? - Nein, danke. Das ist alles. | Sind alle da? - Nein, Rita fehlt noch. | Alle Freunde kommen.
A2	allein	Kommt seine Freundin mit? - Nein, er kommt allein. | Soll ich Ihnen/dir helfen? - Nein danke, ich schaffe das schon allein.
A2	als	Hector ist jünger als seine Schwester. | Sie arbeitet als Krankenschwester.
A2	also	Also, die Sache ist so: … Er hat Zeit, also kann er uns helfen.
A2	alt	Wie alt sind Sie? | Mein Computer ist schon sehr alt. | Wir wohnen in einem ganz alten Haus. | Köln ist eine alte Stadt.
A2	das	Alter (Sg.) Alter: 18 Jahre.
A2	die	Ampel, -n Du kannst fahren, die Ampel ist grün. | Nach der Ampel musst du nach links fahren.
A2	an	Fahren Sie an der nächsten Kreuzung nach rechts.
A2	6	Wir treffen uns am Bahnhof/am Kino/am Stand.
A2	0	Am nächsten Montag geht es leider nicht. | Das Licht war die ganze Nacht an.
A2	anbieten, bietet an,	Darf ich Ihnen/dir ein Stück Kuchen anbieten?
A2	hat angeboten	Er hat mir eine Stelle als Verkäuferin angeboten.
A2	das	Angebot, -e Heute sind Bananen im Angebot. | Stellenangebote finden Sie in der Zeitung oder im Internet.
A2	ander-	Willst du diesen Mantel? – Nein, ich möchte den anderen. | Die anderen sind schon nach Hause gegangen. | Bitte nicht alle auf einmal! Einer nach dem anderen.
A2	ändern, ändert,	Das Wetter hat sich geändert.
A2	hat geändert	Wie kann ich mein Passwort ändern?
